x,y,title,tokens,word,poem_title,author,period,link
0.019071598,-0.018267656,"to no great wonderment. since i, sweet **heart**, have known thine hair, the fur of","to no great wonder ##ment . since i , sweet heart , have known thin ##e hair , the fur of",heart,A Woman's Charms,William Henry Davies,20th Century,http://public-domain-poetry.com/william-henry-davies/womans-charms-37677
0.015898399,0.02292316,"my feet went cold as stones: i saw an **eye** at the keyhole, susie!--grill","my feet went cold as stones : i saw an eye at the key ##hole , susie ! - - grill",eye,At The Keyhole,Walter De La Mare,20th Century,http://public-domain-poetry.com/walter-de-la-mare/at-the-keyhole-33428
0.017098444,0.021029813,wide. and yet i did not move. my **head** reposed upon a tuft of dry and scented,wide . and yet i did not move . my head rep ##osed upon a tu ##ft of dry and scented,head,The Vision In The Wood,Edward Shanks,20th Century,http://public-domain-poetry.com/edward-shanks/vision-in-the-wood-37898
0.016561978,0.03133588,"outing echoes of deluded thoughts. around his **head**, like vipers all distort, his","##out ##ing echoes of del ##uded thoughts . around his head , like viper ##s all di ##stor ##t , his",head,Macbeth,Walter De La Mare,20th Century,http://public-domain-poetry.com/walter-de-la-mare/macbeth-33524
0.01797444,0.016535826,"each stride. if fire may burn invisible to the **eye**; o, if despair strive everlastingly","each stride . if fire may burn invisible to the eye ; o , if despair strive ever ##las ##ting ##ly",eye,Macbeth,Walter De La Mare,20th Century,http://public-domain-poetry.com/walter-de-la-mare/macbeth-33524
0.01990398,-0.013532199,"them, like a skunk that roots about the **heart**... colder: and the elevated slams upon","them , like a sk ##unk that roots about the heart . . . colder : and the elevated slams upon",heart,Faces,Lola Ridge,20th Century,http://public-domain-poetry.com/lola-ridge/faces-29085
0.018191,0.02705537,"and i saw our colonel there, and his grand **head**, snowed with the years, unto the beat","and i saw our colonel there , and his grand head , snow ##ed with the years , unto the beat",head,An Epitaph Upon A Sober Matron,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/an-epitaph-upon-a-sober-matron-18673
0.018367216,0.017899716,"slouched by, how amazement leapt into every **eye**, then fury and grief and pain. and some","sl ##ou ##ched by , how amazement leapt into every eye , then fury and grief and pain . and some",eye,The Blood-Red Fourrag're,Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/blood-red-ifourragrei-31067
0.021155683,-0.016100395,", but a fire on high that frights my **heart** with an immortal cry, calling me evermore.",", but a fire on high that fright ##s my heart with an immortal cry , calling me ever ##more .",heart,The Feaster,Josephine Preston Peabody,20th Century,http://public-domain-poetry.com/josephine-preston-peabody/feaster-28348
0.020882329,-0.01779995,bloom is it because spring now is come that my **heart** leaps in its bed of dust? is it with,bloom is it because spring now is come that my heart leaps in its bed of dust ? is it with,heart,From Wear To Thames,John Frederick Freeman,20th Century,http://public-domain-poetry.com/john-frederick-freeman/from-wear-to-thames-15945
0.019068664,0.015378933,"bare boughs yet barer, and the **eye**'s pure delight the rarer? not that","bare bo ##ugh ##s yet bare ##r , and the eye ' s pure delight the rare ##r ? not that",eye,From Wear To Thames,John Frederick Freeman,20th Century,http://public-domain-poetry.com/john-frederick-freeman/from-wear-to-thames-15945
0.02011872,-0.019746399,"long frosty battle. but this leaping, sinking **heart** finds question in grass, bud and blossom--","long frost ##y battle . but this leaping , sinking heart finds question in grass , bud and blossom - -",heart,From Wear To Thames,John Frederick Freeman,20th Century,http://public-domain-poetry.com/john-frederick-freeman/from-wear-to-thames-15945
0.020107763,-0.016446652,'s a mighty good world after all. o **heart** of pure gold! i have made you a fold,' s a mighty good world after all . o heart of pure gold ! i have made you a fold,heart,Cheer,Robert William Service,20th Century,http://public-domain-poetry.com/robert-william-service/cheer-30939
0.020999135,-0.017119873,"the long voice of the stream, it seems her **heart**'s lute hath a broken string.","the long voice of the stream , it seems her heart ' s lu ##te hat ##h a broken string .",heart,Ophelia,Walter De La Mare,20th Century,http://public-domain-poetry.com/walter-de-la-mare/ophelia-33531
0.020211734,-0.010936184,"and lest, at last, the world should learn **heart**-secrets; lest that sweet wolf from some dim","and lest , at last , the world should learn heart - secrets ; lest that sweet wolf from some dim",heart,Ophelia,Walter De La Mare,20th Century,http://public-domain-poetry.com/walter-de-la-mare/ophelia-33531
0.018372145,0.020207975,", until time smiles wanly back at his laughing **eye**. greed's great paunch, lean envy",", until time smiles wan ##ly back at his laughing eye . greed ' s great pau ##nch , lean envy",eye,The Idiot,John Frederick Freeman,20th Century,http://public-domain-poetry.com/john-frederick-freeman/idiot-16030
